intent_definition,l3_intent(master_intent),Example phrase,l2_intent,l1_intent
Questions about billing related to purchasing products or services.,billing questions,there was an issue with my card on file that is now resolved. can we re-charge my card on file?,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,cancelled hp instaink plan in january and still receiving a bill. customer service contact phone number please.,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,technical issue is in regards to a charge i was made,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,please run my payment again i had my card locked so i can lock it back,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,"please resubmit charge on my account, the funds for withdrawal are there now.",Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i would like to keep my payment method. can you charge my account for last month and this month with the card on file?,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i would like to know why i get an invoice from hp and it comes on my john lewis partnership account invoice which is the one i pay. would like to remove my credit card details off this invoice please,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i would like to make a payment,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i would like to make a payment on my account,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i would like to make a payment.,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i would like to pay my bill,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i would like to see if there is any way i can pay my balance o wednesday,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i would like to use the card on file,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i'd like to know how much my billing is every month?,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,"if i have the free service until may 26, 2023, why was i charged just now for 7.84 after putting in my be card information?",Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,"i am supposed to start getting billed on april 28, 2023 and i can print up to 1500 pages",Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i am trying to find out as to which bank account my direct debit is coming from,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i am trying to find out why i was charged more than the plan i am signed up for?,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i am trying to pay my bill so i can use my printer but it is not letting me,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i am trying to see why i will be charged $73.00 for this month,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i am trying to see why my account is trying to get charged $51.22 but i do not have a statement explaining the charges. i am on the $5.99 plan and when i go to print it's not allowing me and trying to charge my card $51.22.,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i am waiting on new bank card to come as my one was stopped as i had alot of money taken from my account. i expect it in a couple days time i could use my husband care if that ok,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i am wondering why i was charged 36.99 for the past month. what does that mean that i used 33 extra sets of paper?,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i am wondering why my payment is considered delinquent,Order Billing Issue,Order Shipment & Fulfillment
Questions about billing related to purchasing products or services.,billing questions,i appear to have been overcharged - did not request additional pages,Order Billing Issue,Order Shipment & Fulfillment
Printer error message needs troubleshooting.,printer error message,i get message that my printer is older and i can't get status,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,they keep saying it needs attention and have updated it,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,i received the new ink cartridge and installed it but it keeps giving me an error message.,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,i get a message that the printer is not connected to the internet,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,there is a message saying need to install to updates from hp is message legite,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,i have an error on the front of my printer on the blue screen that says d. triple zero d. e. a. d.,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,printer cannot print error code e. for echo zero,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,power went out power came back and now i have an error code on the printer,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,oh i'm getting an error message it says that my printer is not online,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,my printer shows 049 error on display and cant any command from my side,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,i need to understand at the error message,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,i put in and it keeps telling me that i need to increase low,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,i quit hp instant ink i just loaded a new cartridge and it gives me the message that i can't print because it's a non hp cartridge,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,i receive a printer information report which says printer cannot print a problem has occurred and you will be unable to print except for printer reports until,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,i receive an error message when printing,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,i received a message regarding tariff jam and the same message keeps coming up and it's not going away,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,i received two error messages that i was unable to resolve,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,"i recently changed the fuzer kit of hp laserjet m480 now it is showing error 13,b9,a2",Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,i replaced ink cartridges and now i get the message that my printer cannot print,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,i send items to print but then an error message appears on the screen that tells me i will be having trouble printing so go to www dot,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,it's saying that my filters failed when i'm trying to print something,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,it's showing a message says printer update cannot be downloaded,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,it's stopped printing i'm getting a code six two oh one nine two two a.,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,it's telling is giving me an error message saying that it can't be updated at this time and that's been for the last three days,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,i've gone through installation by having trouble printing i get a printing error every time i try to print,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,just installed the printer but its showing maintainance,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,keep getting printer error messages,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,keep saying not ready to print,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,keep saying printer is busy,Print Device Issue,Print Device
Printer error message needs troubleshooting.,printer error message,keep telling me that the printer is not designed to use continuous ink systems and i do not have a continuous ink system in there,Print Device Issue,Print Device
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,how do i delete a printer as i have threw it away,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,how to delete printer i no longer have,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i need a second printer installed on my computer,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,how do i remove a printer that has been discarded,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i received a new printer from hp and i'm trying to install my new printer and uninstall my old printer i need help,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i have a new printer that i just purchased the same one that was broken i need help setting it up,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,message says printer update could not download download unsuccessful,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i want to see if there's a driver update for my hp deskjet 4100 because my scanner is not working,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,want to uninstall and reinstall hp envy 6000 all in one printer software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,unable to update download in the computer i mean then the printer stopped working,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i need to download driver for the printer,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i need to download the driver for my hp deskjet 2132 printer,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i need to download the drivers for the printer.,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i need to download the printer driver,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i need to download the software for the hp office jet 8380 on to my new computer. i cannot find it online,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i need to download the software for this printer so i can print from my laptop,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i need to order a cd printer sotware,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i need windows driver software for the printer,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i needed the driver for t790,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i simply need to drivers for an hp f2110 all-in-one printer.,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i'm looking for a driver ( windows 11 ) for my hp designjet 500ps,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,im missing the driver for my envy 5540,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,im trying to download a printer driver and i cant,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i'm trying to download my driver for my printer to my laptop hp officejet 8615,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i'm trying to download the driver the printer driver,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,i'm trying to download the drivers for my hp deskjet 4152e printer but can't seem to do it,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,im trying to find the drivers for my printer,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,im trying to get the right softwqare so i can instal it so i can print with this printer\,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,im trying to set up my printer but cant get a driver to download,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install or uninstall or update printer drivers & software,install deskjet 2720e in window 7,Printer Drivers & Software,Drivers & Software
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,how do i change to a new network,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,can you connect to new wifi connection,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,can i change to modem wifi connection tomorrow,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,connecting to a new wireless network,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,connecting to new internet wifi connection on telephones and computers,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,change the wifi network on my printer. i moved it to a new location,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,how do i change the network my printer connects to,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,which wifi app for samsung galaxy tab let,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,i have changed wireless companies how do i connect new one,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,how do you connect to your wireless network? i changed from fios to optimum.,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,"hp deskjet 3755 all in one printer, trying to connect to wi-fi",Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,i am trying to connect them wirelessly,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,i can't seem to change wi fi networks,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,i change my network wifi network mlm enable to configure it on the new network,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,i change the wi fi how can i put my new wi fi in the printer?,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,i don't know how to connect it to the wi-fi,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,i ened help reconnecting with my wifi and settings,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,i have a new modem and i need to try to connect it to the new wifi wireless,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,i have a new wifi & am trying to connect printer to it,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,i have a new wifi account how do i switch it on pronter,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,yes connect to wifi,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,yes i need to set up my wifi,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,how do i change the network my printer connects to,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,how do i change the wi-fi my printer is connected to so it is the same wi-fi my phone is on,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,how do i hook my printer up to the wi-fi?,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,how to setup wireless wifi to desktop,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,i'm trying to connect my printer to a new wireless service,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,i just want to connect my hp deskjet 3630 from usb to wireless as we have a new modem,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,1000a wifi installation,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,configure and setup wireless lan,how to activate wi-fi on hp stream x360,Network Setup,Internet Wireless-Wired
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i have run out of both black & colour ink but no alert sent,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i just updated my new shipping address. so please send me my ink cartridges,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,it is telling me i need new cartridges. the ones i have been used before. please send me new cartridges!!!,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i am receiving emails to say i need to replace ink cartridges but i don't have any,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i am on the ink cartridge program and need a black ink cartridge,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,how can i get a cartridge replacement,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,my ink cartridges are already out. i need new ones shipped.,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,looking to get ink cartridge tomorrow morning. is this possible?,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,"ink running low and i don't have cartridges / replacement ink as stated in your e-mail. please help, thank you!",Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,"i'm a member of insta ink, printer says i need black. but i do not see that i have received one thru mail. how do i obtain one?",Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,"i am all out of black ink. my account says that i should have some on hand, but i don't seem to have any :-(",Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i am almost out of ink and my dashboard is telling me i do not need any. the cartridges that i have in now are all i have and i would like to order more.,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i am an instank ink member and i am running out of black ink. i do not have a replacement cartridge.,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i am an instant ink customer and need a black cartridge,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i am completely out of ink.,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i am conected and probaly need ink!,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i am enrolled and need black and colored ink,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,"i am enrolled in instant ink; however, i need color ink now and i do not have and can't do my work without color ink cartridges?",Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i am enrolled. i need a new color ink cartridge.,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i am in desperate need of a black ink cartridge can you send asap please,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i would like to request try-color ink because i am low on that.,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i'd like a replacement cartridge,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i'd like to have a black ink cartridge sent to me in case i need it.,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,id like to have more black ink sent,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,i'd like to order another ink cartridge,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,ii need black and color ink now.,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,"i'm a member of insta ink, printer says i need black. but i do not see that i have received one thru mail. how do i obtain one?",Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,"i'm almost out of ink and i have a project to print with 40 pages, and i need ink now.",Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,"im completely out of all my colored ink, and at 50% capacity for my black ink. the printer states i'm depleted on toner, how quickly can you send ink and toner?",Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,extra or early shipment request,"i'm having problem with cartridges, they keep saying there not communicating with printer, if problem persists, replace them. have tried everything but still same fault. could you please send out some replacement s. thank you",Order Shipment Management,Order Shipment & Fulfillment
Issue with printing directly from a device such as personal computer.,print from device issue, cannot print from my computer i don't think it's took up the wifi,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,not printing from the mac to my printer,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,um i cannot make the printer print from my computer,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,again my printer is not working it worked fine for three or four weeks and now i can't it won't print off of my laptop,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,i'm not able to print from my computer to the printer,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,yes my printer is offline i don't know how to put it online,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,printer is offline every time and i must restart my computer each time,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,i can't print from my computer northam north of my cell phone iphone it's all it's offline,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,"hi, i'm trying to print from my desktop computer to my printer and it's saying it's offline",Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,the printer is printing fine it's connected to wifi but it won't print from my desktop computer,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,my printer box says connection problem without an internet connection i have to reconnect to after net or wifi is to continue printing,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,my printer is not printing it was offline,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,my printer seems to want to go offline not print,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,my printer won't print it keeps saying it is offline yeah that work,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,yes i am not able to print anything my printers has it's offline how do i get it online how do i get it so i can print again,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,yes my printer is offline and i cannot get it back online,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,yes my printer is offline and it's not connected to my computer so i can't print,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,yes they a printer is offline,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,you sent a download to upgrade the i guess the software and it's the printer keeps going offline and not working not i can't get it to print,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,printer is offline and won't wake up when using mac,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,it doesn't remain online i cannot print from either my phone or my tablet and it doesn't reset to the wifi,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,it says my printer is connected to the wireless network but not connected to the internet and it won't print from my laptop to the printer,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,it will not connect to the wifi and i need to print something to day,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,it will not hook up to wifi so i can print,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,it won't go off wifi the printer won't print,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,it won't print not connected to wifi,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,my computer my printer keeps going offline and need to get it back online so i can use it,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,my computer printer is offline,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,my laptop which is connected by wifi to my printer does not recognize my printer and i cannot print,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,print from device issue,my printer box says connection problem without an internet connection i have to reconnect to after net or wifi is to continue printing,Network Issue,Internet Wireless-Wired
Device will not scan or copy due to system failure.,printer will not copy or scan,what is my account problem that is preventing scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,i cannot sign in to on my computer to scan anything,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,brand new printer scan does not work,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,a new operating system and my scan isn't working,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,i was having problem with scanning anything the scanner was not working,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,yes the order matic scanner is not working,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,just repaired by hp services but scanner not working saying printer need attention,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,"im used hp laser promfp m125a to scan my documen , why cant function",Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,i need to speak to someone regarding making copies not working,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,i want my hp put on my desktop so i can click on it and scan something right now is it's not there i cannot scam,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,the printer is offline and i can't get it to come back online,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,the printer is offline and i can't uh added on again to the system won't let me add it on,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,the printer is offline and i continue to pay for the service and it's doesn't work,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,the printer is offline and i don't know how to get it back online,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,the printer is offline and i need to have it back online,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,won't print not connected i thought this was supposed to be easy,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,yeah just send is that then the printer doesn't connect to internet so i can print from my for my laptop,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,yeah won't print off the computer,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,yes i am it's not able to print the uh document name says that the printer is offline,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,yes my printer is offline i cannot get it back online,Copy or Scan Issue,Print Device
