phrase,l3_intent,l2_intent,l1_intent,category,intent_type,Source,Notes,Reviewed,changed,normalized_l3_intent
i can't get my printer to connect to the internet,network connection issue,network issue,internet wireless-wired,product issue,product issue,va,,,,networkconnectionissue
kind of print with connection issues,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,networkconnectionissue
i can't connect the printer,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,networkconnectionissue
cannot connect internet,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,networkconnectionissue
i just purchased an hp chromebook. i can't get past a page that says my chromebook can't connect to the internet to finish set up while it also shows it conncected to my network.,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,networkconnectionissue
i can't get connected with your hp dashboard,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,networkconnectionissue
it it's the printer prints the sheet out so that part of it's okay but it isn't getting the message from my ipad it's not communicating right but i think it is online,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,networkconnectionissue
my printer's not connecting,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,was network connection issue,,,networkconnectionissue
unable to reconnect to the network,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,was network connection issue,,,networkconnectionissue
thank you he's offline,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,was network connection issue,,,networkconnectionissue
i cannot connect i'm trying to print it doesn't print,network connection issue,network issue,internet wireless-wired,product issue,product issue,va,,,,networkconnectionissue
i can't connect the printer to my computer network,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,was network connection issue,,,networkconnectionissue
my printer is not printing. it is no longer connected,network connection issue,network issue,internet wireless-wired,product issue,product issue,va,,,,networkconnectionissue
my printer is offline again,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,networkconnectionissue
yes cannot print does not connect to the internet,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,networkconnectionissue
it will not link to my phone,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,networkconnectionissue
i can't connect my printer to anything,network connection issue,network issue,internet wireless-wired,product issue,product issue,va,,,,networkconnectionissue
i cannot pick up the internet,network connection issue,Network Issue,Internet Wireless-Wired,Product Issue,product issue,ivr,,,,networkconnectionissue
yes a the laptop failed to connect to the internet all of my other devices connect this laptop will not connect it just started doing this couple of days ago,network connection issue,Network Issue,Internet Wireless-Wired,Product Issue,product information,ivr,,,,networkconnectionissue
i can't get connected to the one side,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,networkconnectionissue
my printer is saying printer offline,network connection issue,network issue,internet wireless-wired,product issue,product issue,va,,,,networkconnectionissue
it is always going offline,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,networkconnectionissue
my printer is off lying,network connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,networkconnectionissue
i need to change my email address. i accidentally blocked your notifications in my hotmail.,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
where do i update my credit card information,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
hp instant ink - change credit card information,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
envy 4520 all-in-one printer series - how can i remove this from my dashboard - i already removed from account.,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
i need to change my credit card information but i'm not able to get the right page to do that,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
i need to update my credit card info. how do zi do it?,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
set up debit card,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
can switch between printers tied to my account,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
change account holder,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
change date on credit card,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
i have updated my credit card information but want to change plan to the $1.25 per month as i do not use my printer enough to pay more,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
yes i returned that printer because it broke and i have received a new printer an h. hp officejet pro eighty thirty five d. i'm trying,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
what is the next plan above the one i have now?,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
i can't get my payment method updated,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
i need to update billing?,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
need to update where i now live,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
cannot update my billing information,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
i am trying to add my husband onto my account so he can use the printer functions,account change or add details,account management,account,service information,service information,ivr,,,,accountchangeoradddetails
how do i update my credit card info,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
how do i change from usa to uk so i can register my address,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
credit card update,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
how to edit my address for ink,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
how do i update my instant ink account? we are not using our printer as much anymore,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
i have a new visa card with new number. sorry i forgot to inform you.how do i change to this it is a debit card.,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
billing. i need to update my payment method but getting error,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
"update, credit card info",account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
trying to update payment method,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
i need to change the credit card it's charged to,account change or add details,account management,account,service information,service information,ivr,,,,accountchangeoradddetails
i wantto change my address. i have moved.,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
i need to change password and user,account change or add details,account management,account,service information,service information,ivr,,,,accountchangeoradddetails
where do i change payment with instant ink,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
i need to update my address as i'm out of ink,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
i cant add my orinter to my insta ink account,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
updating my payment information,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
how do i remove notification for ink,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
trying to change payment method,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
i am looking to update to a new printer on my ink account,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
i need to change my delivery address,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
i can't update my payment,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
we are moving so our stuff is in storage. how do i change our address?,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
update replacement cell phone number,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
my credit card visa. i am using the same credit card but my expire date and number on the back have been updated. how do i do this? have tried by changing the card on your system but it just keeps asking for the information again. the card number has not changed just the exoirary date and the number on the back,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
i want to remove expired credit card information from the site,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
"i subscribe to instant ink, and also a $14.99 monthly general support. i would like to change my billing information for the monthly support subscription.",account change or add details,Account Management,Account,Service Information,Service Information,va,,Y,Y,accountchangeoradddetails
hoe can i change my address please,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
change plan to $0 a month,account change or add details,account management,account,service information,service information,va,,,,accountchangeoradddetails
how can i delete a disconnected hp printer,account change or add details,Account Management,Account,Service Information,service information,va,,Y,N,accountchangeoradddetails
i need to i need help with us part,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
can i speak to the internet,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
need phone number of actual assistant,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
the computer doesn't work and i would like to speak to an agent,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
i'm on hold with a technical support representative,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
service en francais,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
i want my original issue resolved and i want a phone number to hpinstantink customer service,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
i want register a compliant,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
may i speak to customer service please,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
i need to speak with a person about out of service laptop and printers for a paid support,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
do you charge for tech support,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
"i was with a virtual agent just now and we got disconnected, we were trying to get my printer hooked up to my internet.",route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
i need to speak with someone please,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
i paid for the exteneded warrnaty but cannot contact support,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
call technical support,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
may i speak to a human,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
how do i speak to a live agent?,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
tech support assistance on this tech support kit,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
get human,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
i need to speak with someone customer service,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
i just want to return the call of the person who just called me,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
report an agent,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
please connect me to a technical support,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
account area need assistance with the account for the eight three eight,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
how can i chat with a real person,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
i just need help,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
i need somebody to collect a box for a speed,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
get a person to help,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
i need to talk to the warranty department,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
i want to talk to a real person,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
connect me to a human,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
i need to confirmation from tech support to the right people that i sent my printer or i need to talk to a person,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
laptop assistance,route to agent,Route Customer,Customer Support Path,Routing,product information,va,,,,routetoagent
i have been contacted by a company pretending to be from hp.,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
customer service phone,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
hp customer service phone number,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
i need help regarding my laptop,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
phone number for customer support for instant ink,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
i need someone in charge or assistant to help me,route to agent,Route Customer,Customer Support Path,Routing,Routing,ivr,,Y,Y,routetoagent
you are not helping can i speak with someone,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
agent agents,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
i'm not able to get a claim number,route to agent,route customer,customer support path,routing,routing,ivr,,,,routetoagent
need to talk to someone,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
please can an agent call me?,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
contact support agent,route to agent,route customer,customer support path,routing,routing,va,,,,routetoagent
cannot connect to new wifi,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
my printer won't connect to my wifi - blue wifi button flashing,wireless connection issue,network setup,internet wireless-wired,product issue,product issue,va,,,,wirelessconnectionissue
not hooking up to wireless system wifi,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
i'm not able to access the wifi but,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
wireless connecting to an ipad unable to do it,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,va,,,,wirelessconnectionissue
wifi connection connectivity,wireless connection issue,Network Issue,Internet Wireless-Wired,Product Issue,product issue,ivr,,,,wirelessconnectionissue
i can't print using a wireless device,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,va,,Y,Y,wirelessconnectionissue
it does not recognize the wifi,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
i don't want to enroll. my business pays for all my needs. why can't i print wireless to my printer,wireless connection issue,Network Issue,Internet Wireless-Wired,Product Issue,Product Issue,va,,Y,Y,wirelessconnectionissue
printer will not connect to internet wifi,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,va,,,,wirelessconnectionissue
unable to connect my computer to the wifi,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,va,,,,wirelessconnectionissue
i cannot get my wifi printer connected to my app on my phone so i'm not able to print anything,wireless connection issue,Network Issue,Internet Wireless-Wired,Product Issue,product information,ivr,,,,wirelessconnectionissue
kindly you can solve my wi-fi connectivity issue please,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
it's not getting online or call connecting to wifi,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
wifi not connected to the printer,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,va,,,,wirelessconnectionissue
wi-fi not connecting,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,va,,,,wirelessconnectionissue
the printer will not get our on our new wireless network,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
there is a problem with the printerâ€¦it shows that it is offline and so i can't get toner in time,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
it's not connecting to wifi,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
unable to connect to wifi network,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
i can't set it up and need assistance to set it up to connect it to the wireless laptop,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
i can't connect to wifi and it won't print,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
unable to print wifi,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
it's not connecting to wifi network,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
printer keeps disconnecting from wireless,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,va,,,,wirelessconnectionissue
printer does not recognize wifi network,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
not connecting for wifi you gotta go outside,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
are they having problem connecting wireless,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
printer won't connect to new wifi on laptop,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
my wifi adepter is missin,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,va,,,,wirelessconnectionissue
new wifi and can't connect my printer to the new wifi,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
my new laptop wifi chip problem,wireless connection issue,Network Issue,Internet Wireless-Wired,Product Issue,product issue,va,,,,wirelessconnectionissue
unable to connect with to wifi,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
diagnose and fix wireless/wlan network connection,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,va,,,,wirelessconnectionissue
i cannot connect my hp 6030 to wifi,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
it's at my print it the computer says that the printer is offline and it's not offline it has it's on it's connected to wifi,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
can't connect to my wifi,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
help!- my printer is constantly offline - cant ever print- it is a mystery when it is able to print,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,va,,,,wirelessconnectionissue
it won't let me connect to the wifi,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
i cannot get it to connect the wifi,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
i can get connected to my wifi printer,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,va,,,,wirelessconnectionissue
yeah under a wifi connection with computer not working,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
wireless 5g not support,wireless connection issue,Network Issue,Internet Wireless-Wired,Product Issue,Product Issue,ivr,,Y,Y,wirelessconnectionissue
it says on my phone it cannot fine printer,wireless connection issue,network issue,internet wireless-wired,product issue,product issue,ivr,,,,wirelessconnectionissue
i need to cancel my plan. the printer does not work anymore and i replaced it with a different brand.,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
want to cancel my instant ink,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
i need help cancelling monthly service,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
are the service hd service i like to cancel h. b. service,account cancellation,account management,account,service issue,service issue,ivr,,,,accountcancellation
i am unable to use my printer because my printer is not connected to instant ink. i want to unsubscribe to instant ink,account cancellation,account management,account,service information,service information,va,,,,accountcancellation
cancel subscribition permanent,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
could i reuse a cartridges that i had on my account after i have to cancel my account,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
i'd like to cancel my service,account cancellation,account management,account,service issue,service issue,ivr,,,,accountcancellation
canceled smart ink and stop charging me when i have not hot ink in like a year,account cancellation,Account Management,Account,Service Issue,Service Issue,va,,Y,Y,accountcancellation
how do i cancel this?,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
"i am returning my printer, so i will need to cancel my instant ink",account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
hi i'd like to cancel my instant ink,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
i would like to cancel my contract,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
i want to cancel my internet bank,account cancellation,account management,account,service issue,service issue,ivr,,,,accountcancellation
want to cancel instant ink,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
how do i cancel the account,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
cancel my hp instant ink account,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
i would like to unenroll,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
cancel ink,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
i need to cancel no longer have hp printer,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
"if i cancel with instant ink, will i be able to use my printer",account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
i need to cancel my plan,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
i would like to cancel my subscription my printer broke,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
i want to cancel my h. p. instant inc. subscription,account cancellation,account management,account,service issue,service issue,ivr,,,,accountcancellation
cancel hp smart friend,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
my accounts are frozen there's two accounts i only need one but i've got two accounts and gotta get rid one account problems and ending problems,account cancellation,account management,account,service issue,service issue,ivr,,,,accountcancellation
cancel account please,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
"i need to log into my account and cancel my hp instant ink. when i log in, it doesn't even show i am connected to the service. can you please advise?",account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
need help to cancel instant ink subscription,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
cancelled useless cartridges,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
how do i canceled,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
returning printer for a better one. need to cancel free ink.,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
attempting to cancel subscription and add a new printer system seems to be stuck,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
cancell my instant ink subscription,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
i don't want hp+,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
i want to delete my hp smart account,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
i don't want insta ink. when my son bought this printer a couple years ago he signed up for it. he is now moved out but left the,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
i purchase ink on my own i do not want to be in the ink program.,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
wanna cancel the smart care plan,account cancellation,account management,account,service issue,service issue,ivr,,,,accountcancellation
i need to cancel my hpsmart,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
i would like to end my instant in plan and no longer subscribe to instant ink.,account cancellation,account management,account,service issue,service issue,va,,,,accountcancellation
how much do i owe for this months payment so i can make a payment,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
why are you trying to debit $80.00 from my card.,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
it's not time for a payment yet,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
my bill,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
card charge not working,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,ivr,,,,billingquestions
just updated billing card. could you run payment please?,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
why am i getting charged,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,ivr,,,,billingquestions
i'm being charged,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
need to know why i was charged 20.32,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
hello i wanted to know why in january i was charged 1.07 and for february i was charged 1.o3?,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
hello i have a membership to receive ink and i haven't received any in years can i get a callback from a representative to see if i can receive a credit,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
why did i get billed when i still have 3 more free months,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
i have cancelled my account in january. i am still being billed. i do not want to use your service. i will be returning any cartages i received,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
how do i ensure that i won't be charged after the instatnt ink program is over?,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
can you retry the payment please,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
my card type is not accepted,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
billing and email support,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,ivr,,,,billingquestions
process payment with current payment method,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
i have updated my plan - please start billing my credit card on file so i do not lose my ink plan,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
i need to make a payment for my ink subscription,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
help make payment,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
money has been transferred to the acct to pay bill. can i pay the bill using current card on file,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
both and charges to my card,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
contact number for billing,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
i have not even received my ink cartridge from you and i'm already being charged for printing pages,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
where do i go to make payments,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
monthly cost,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
why am i being charged $10.07 when i'm on the $5.99 plan,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
i've updated my payment information when will they draft the payment,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
"i've been billed two days in a row for ink, how do i get to my profile to stop this",billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
i'm trying to pay note about six months free ancona,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,ivr,,,,billingquestions
ii need help to make a payment to you.,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,va,,,,billingquestions
billing department,billing questions,order billing issue,order shipment & fulfillment,service issue,service issue,ivr,,,,billingquestions
user intervention required,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
thank printer's not responding error,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
i have a printer warning on my hp printer i don't know what to do with it,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
a five nine dot f. zero error,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
"i'm getting a ""printer error"" message, and i've tried to close, unplug, reboot, several times and nothing works. the error says that there is a problem w/the ink cartridge.",printer error message,print device issue,print device,product issue,product issue,va,,,,printererrormessage
my printer won't power on. it gave an error message and went off. i can't get it to come back on. the error message is ox83c0002b,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
cannot print error is displayed,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
i have an error code b8c92810 on the printer,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
i have a message going on,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
error message not working,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
message on screen says problem with printer or in the system i am if assists please contact h. p.,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
yes i get it it was message on my printer and i'm trying to change it says it is the medication coverage are not communicating correctly,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
i have a code on my printer i don't know what the code mean,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
my printer keeps restarting and just keeps indicating error 79,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
well my printer keeps showing that i have an error and i can't figure out what the error is,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
a printer failure,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
error code 0x00829c98,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
the printer is offline with an error message,printer error message,print device issue,print device,product issue,product issue,va,,,,printererrormessage
trying to make a copy and i get an error message which says print service is not available,printer error message,print device issue,print device,product issue,product issue,va,,,,printererrormessage
my messages come up there the may until some issues on resolved and i will not be able to print and i want to know what issue,printer error message,print device issue,print device,product issue,product issue,va,,,,printererrormessage
error printing on hp 6000 series printer,printer error message,print device issue,print device,product issue,product issue,va,,,,printererrormessage
the printer report says that it cannot print anything out of the reports until i've spoken to somebody,printer error message,print device issue,print device,product issue,product issue,,,,,printererrormessage
my printer is saying printer in error and it cannot prin,printer error message,print device issue,print device,product issue,product issue,va,,,,printererrormessage
number of printed pages error,printer error message,Print Device Issue,Print Device,Product Issue,Product Issue,va,,Y,Y,printererrormessage
seven brand printer is busy,printer error message,print device issue,print device,product issue,product issue,va,,,,printererrormessage
10.00.90 black toner replenishment error,printer error message,print device issue,print device,product issue,product issue,va,,,,printererrormessage
printer is not printing it telling me that i have a printing error,printer error message,print device issue,print device,product issue,product issue,ivr,,,,printererrormessage
