CSS_mapping,utterance,intent_level_3,intent_level_2,intent_level_1
Printer error message needs troubleshooting.,it's stopped printing i'm getting a code six two oh one nine two two a.,printer error message,Print Device Issue,Print Device
Printer error message needs troubleshooting.,it's telling is giving me an error message saying that it can't be updated at this time and that's been for the last three days,printer error message,Print Device Issue,Print Device
Printer error message needs troubleshooting.,i've gone through installation by having trouble printing i get a printing error every time i try to print,printer error message,Print Device Issue,Print Device
Printer error message needs troubleshooting.,just installed the printer but its showing maintainance,printer error message,Print Device Issue,Print Device
Printer error message needs troubleshooting.,keep getting printer error messages,printer error message,Print Device Issue,Print Device
Printer error message needs troubleshooting.,keep saying not ready to print,printer error message,Print Device Issue,Print Device
Printer error message needs troubleshooting.,keep saying printer is busy,printer error message,Print Device Issue,Print Device
Printer error message needs troubleshooting.,keep telling me that the printer is not designed to use continuous ink systems and i do not have a continuous ink system in there,printer error message,Print Device Issue,Print Device
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,how do i delete a printer as i have threw it away,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,how to delete printer i no longer have,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i need a second printer installed on my computer,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,how do i remove a printer that has been discarded,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i received a new printer from hp and i'm trying to install my new printer and uninstall my old printer i need help,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i have a new printer that i just purchased the same one that was broken i need help setting it up,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,message says printer update could not download download unsuccessful,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i want to see if there's a driver update for my hp deskjet 4100 because my scanner is not working,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,want to uninstall and reinstall hp envy 6000 all in one printer software,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,unable to update download in the computer i mean then the printer stopped working,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i need to download driver for the printer,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i need to download the driver for my hp deskjet 2132 printer,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i need to download the drivers for the printer.,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i need to download the printer driver,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i need to download the software for the hp office jet 8380 on to my new computer. i cannot find it online,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i need to download the software for this printer so i can print from my laptop,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i need to order a cd printer sotware,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i need windows driver software for the printer,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i needed the driver for t790,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i simply need to drivers for an hp f2110 all-in-one printer.,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i'm looking for a driver ( windows 11 ) for my hp designjet 500ps,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,im missing the driver for my envy 5540,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,im trying to download a printer driver and i cant,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i'm trying to download my driver for my printer to my laptop hp officejet 8615,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i'm trying to download the driver the printer driver,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,i'm trying to download the drivers for my hp deskjet 4152e printer but can't seem to do it,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,im trying to find the drivers for my printer,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,im trying to get the right softwqare so i can instal it so i can print with this printer\,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,im trying to set up my printer but cant get a driver to download,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
Install/uninstall/update drivers and software for HP printers which can be managed via device manager.,install deskjet 2720e in window 7,install or uninstall or update printer drivers & software,Printer Drivers & Software,Drivers & Software
How to configure and setup a wireless LAN or WLAN connection with device.,how do i change to a new network,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,can you connect to new wifi connection,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,can i change to modem wifi connection tomorrow,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,connecting to a new wireless network,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,connecting to new internet wifi connection on telephones and computers,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,change the wifi network on my printer. i moved it to a new location,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,how do i change the network my printer connects to,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,which wifi app for samsung galaxy tab let,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,i have changed wireless companies how do i connect new one,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,how do you connect to your wireless network? i changed from fios to optimum.,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,"hp deskjet 3755 all in one printer, trying to connect to wi-fi",configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,i am trying to connect them wirelessly,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,i can't seem to change wi fi networks,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,i change my network wifi network mlm enable to configure it on the new network,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,i change the wi fi how can i put my new wi fi in the printer?,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,i don't know how to connect it to the wi-fi,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,i ened help reconnecting with my wifi and settings,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,i have a new modem and i need to try to connect it to the new wifi wireless,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,i have a new wifi & am trying to connect printer to it,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,i have a new wifi account how do i switch it on pronter,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,yes connect to wifi,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,yes i need to set up my wifi,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,how do i change the network my printer connects to,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,how do i change the wi-fi my printer is connected to so it is the same wi-fi my phone is on,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,how do i hook my printer up to the wi-fi?,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,how to setup wireless wifi to desktop,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,i'm trying to connect my printer to a new wireless service,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,i just want to connect my hp deskjet 3630 from usb to wireless as we have a new modem,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,1000a wifi installation,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
How to configure and setup a wireless LAN or WLAN connection with device.,how to activate wi-fi on hp stream x360,configure and setup wireless lan,Network Setup,Internet Wireless-Wired
Customer needs extra or early shipment on product or supplies related to subsription service.,i have run out of both black & colour ink but no alert sent,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,i just updated my new shipping address. so please send me my ink cartridges,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,it is telling me i need new cartridges. the ones i have been used before. please send me new cartridges!!!,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,i am receiving emails to say i need to replace ink cartridges but i don't have any,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,i am on the ink cartridge program and need a black ink cartridge,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,how can i get a cartridge replacement,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,my ink cartridges are already out. i need new ones shipped.,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,looking to get ink cartridge tomorrow morning. is this possible?,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,"ink running low and i don't have cartridges / replacement ink as stated in your e-mail. please help, thank you!",extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,"i'm a member of insta ink, printer says i need black. but i do not see that i have received one thru mail. how do i obtain one?",extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,"i am all out of black ink. my account says that i should have some on hand, but i don't seem to have any :-(",extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,i am almost out of ink and my dashboard is telling me i do not need any. the cartridges that i have in now are all i have and i would like to order more.,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,i am an instank ink member and i am running out of black ink. i do not have a replacement cartridge.,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,i am an instant ink customer and need a black cartridge,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,i am completely out of ink.,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,i am conected and probaly need ink!,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,i am enrolled and need black and colored ink,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,"i am enrolled in instant ink; however, i need color ink now and i do not have and can't do my work without color ink cartridges?",extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,i am enrolled. i need a new color ink cartridge.,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,i am in desperate need of a black ink cartridge can you send asap please,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,i would like to request try-color ink because i am low on that.,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,i'd like a replacement cartridge,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,i'd like to have a black ink cartridge sent to me in case i need it.,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,id like to have more black ink sent,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,i'd like to order another ink cartridge,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,ii need black and color ink now.,extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,"i'm a member of insta ink, printer says i need black. but i do not see that i have received one thru mail. how do i obtain one?",extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,"i'm almost out of ink and i have a project to print with 40 pages, and i need ink now.",extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,"im completely out of all my colored ink, and at 50% capacity for my black ink. the printer states i'm depleted on toner, how quickly can you send ink and toner?",extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Customer needs extra or early shipment on product or supplies related to subsription service.,"i'm having problem with cartridges, they keep saying there not communicating with printer, if problem persists, replace them. have tried everything but still same fault. could you please send out some replacement s. thank you",extra or early shipment request,Order Shipment Management,Order Shipment & Fulfillment
Issue with printing directly from a device such as personal computer., cannot print from my computer i don't think it's took up the wifi,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,not printing from the mac to my printer,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,um i cannot make the printer print from my computer,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,again my printer is not working it worked fine for three or four weeks and now i can't it won't print off of my laptop,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,i'm not able to print from my computer to the printer,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,yes my printer is offline i don't know how to put it online,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,printer is offline every time and i must restart my computer each time,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,i can't print from my computer northam north of my cell phone iphone it's all it's offline,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,"hi, i'm trying to print from my desktop computer to my printer and it's saying it's offline",print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,the printer is printing fine it's connected to wifi but it won't print from my desktop computer,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,my printer box says connection problem without an internet connection i have to reconnect to after net or wifi is to continue printing,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,my printer is not printing it was offline,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,my printer seems to want to go offline not print,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,my printer won't print it keeps saying it is offline yeah that work,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,yes i am not able to print anything my printers has it's offline how do i get it online how do i get it so i can print again,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,yes my printer is offline and i cannot get it back online,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,yes my printer is offline and it's not connected to my computer so i can't print,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,yes they a printer is offline,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,you sent a download to upgrade the i guess the software and it's the printer keeps going offline and not working not i can't get it to print,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,printer is offline and won't wake up when using mac,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,it doesn't remain online i cannot print from either my phone or my tablet and it doesn't reset to the wifi,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,it says my printer is connected to the wireless network but not connected to the internet and it won't print from my laptop to the printer,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,it will not connect to the wifi and i need to print something to day,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,it will not hook up to wifi so i can print,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,it won't go off wifi the printer won't print,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,it won't print not connected to wifi,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,my computer my printer keeps going offline and need to get it back online so i can use it,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,my computer printer is offline,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,my laptop which is connected by wifi to my printer does not recognize my printer and i cannot print,print from device issue,Network Issue,Internet Wireless-Wired
Issue with printing directly from a device such as personal computer.,my printer box says connection problem without an internet connection i have to reconnect to after net or wifi is to continue printing,print from device issue,Network Issue,Internet Wireless-Wired
Device will not scan or copy due to system failure.,what is my account problem that is preventing scan,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,i cannot sign in to on my computer to scan anything,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,brand new printer scan does not work,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,a new operating system and my scan isn't working,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,i was having problem with scanning anything the scanner was not working,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,yes the order matic scanner is not working,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,just repaired by hp services but scanner not working saying printer need attention,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,"im used hp laser promfp m125a to scan my documen , why cant function",printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,i need to speak to someone regarding making copies not working,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,i want my hp put on my desktop so i can click on it and scan something right now is it's not there i cannot scam,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,the printer is offline and i can't get it to come back online,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,the printer is offline and i can't uh added on again to the system won't let me add it on,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,the printer is offline and i continue to pay for the service and it's doesn't work,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,the printer is offline and i don't know how to get it back online,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,the printer is offline and i need to have it back online,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,won't print not connected i thought this was supposed to be easy,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,yeah just send is that then the printer doesn't connect to internet so i can print from my for my laptop,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,yeah won't print off the computer,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,yes i am it's not able to print the uh document name says that the printer is offline,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,yes my printer is offline i cannot get it back online,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,i cannot scan a document because my printer is in use. but my printer is not in use.,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,i cannot scan any documents to my computer,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,i cannot scan but print is ok,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,i cannot scan documents and i hit scan it says you have to open a new account so this is retarded and i wasted my whole day from,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,i cannot scan documents no longer,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,"i can't scan the copy due to low cartridge, how can i scan it without replace a new cartridge?",printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,i cannot scan from my credit book,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,i cannot scan from my hp envy 5020 printer,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,i cannot scan from my max computer,printer will not copy or scan,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,i have a hp laserjet pro 9015e all in one printer. i cannot scan any document i can just print.,printer will not copy or scan,Copy or Scan Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,the printer will not access at the cartridges,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,a new ink cartridge is not printing properly,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,add the printer is having a cartridge problem,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,i have a cartridge problem that i have not been able to clear following the directions on the app and website,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,"i always buy hp products from staples...the error on my printer states ""indicated cartridges blocked for containing a non-hp chip. i unplugged and did the manual unload and relooad...it does not clear",cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,"i am having cartridge problems. it says the indicated cartridges are not communicating correctly with the printer. if this problem persists, replace the cartridges.",cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,the new ink cartridges from hp ink are not communicating properly with the printer,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,the end of change it cartridges are not communicating correctly with the printer,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,the black cartridge is installed however the computer seems to not read it and says it's not installed i printed with this cartridge before,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,taking cartridges not communicating with the printer,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,"i just put my new color cartridge in and the print is indicating it is not full but empty. i have turned off the printer for 60+ seconds, removed the cartridge and reinserted it but nothing has changed.",cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,i loaded a new cart and its not printing properly,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,i put in a black ink cartridge sent by hp and i am getting an error message of the indicated.  cartridge are not communicatimg correctly with the primter,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,i put in a new ink cartridge and it won't work,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,i put in two new cartridges but it's still telling me i have a cartridge problem,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,i put new cartridges in and it tells me they're not communicating correctly,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,i received an email saying my printer has a store bought cartridge but it does not,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,"i recently changed the cartridges on my hp 8725 and today it's telling me that i have a cartridge error and cannot print. i went through the troubleshooter on this website, and still no printing.",cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,i replace the in cartridge and it's not communicating with the printer,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,i replaced a used cartridge with an hp cartridge provided by upn mail but i received an email indicating that i used a store bought cartridge,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,i changed my and cartridge and it will not prepped i have tried everything i'm fixing the through the thing out the front door,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,i do not want an ink plan. i have purchased hp ink from staples. why does the printer not recognize the cartridges i purchased.,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,i don't know cartridges not except,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,i got a sign or a printout that indicates cartridges are not communicating correctly with the printer at,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,i have a brand new color ink cartridge that is saying error when i put it in but it's brand new and i'm in the middle of printing,cartridge error,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,i have a cartridge error notification,cartridge error,Cartridge Issue,Print Device
